College,Branch,Quota,Caste,Gender,Opening Rank,Closing Rank,year,round
,,,,,,,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,3533.0,5947.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1829.0,2213.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,,663.0,1023.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,,331.0,357.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,5408.0,6561.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,2000.0,2529.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,1178.0,1178.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,542.0,542.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,6078.0,6579.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,2554.0,2588.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,1090.0,1362.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,1497.0,2665.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,58.0,58.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,768.0,1115.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,22.0,22.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,,299.0,587.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,,291.0,394.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,2933.0,4241.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1361.0,1835.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,,715.0,974.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,,146.0,363.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,2529.0,3994.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,89.0,89.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1096.0,1750.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,,762.0,992.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,,418.0,457.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,3372.0,4692.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,157.0,157.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1375.0,1854.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,,689.0,958.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,,289.0,371.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,4888.0,5457.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),,40.0,40.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,1800.0,2221.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,1123.0,1123.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,574.0,574.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,5476.0,5680.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,2247.0,2279.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,1212.0,1263.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,602.0,602.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,5756.0,6872.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1779.0,2783.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,45.0,45.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,,1177.0,1405.0,2016,1
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,,635.0,778.0,2016,1
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,838.0,1777.0,2016,1
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,42.0,42.0,2016,1
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,408.0,902.0,2016,1
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,45.0,45.0,2016,1
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,,285.0,420.0,2016,1
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,,79.0,145.0,2016,1
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,422.0,1427.0,2016,1
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,51.0,75.0,2016,1
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,447.0,974.0,2016,1
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,40.0,40.0,2016,1
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,,257.0,507.0,2016,1
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),,3.0,3.0,2016,1
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,,133.0,312.0,2016,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,,3323.0,4410.0,2016,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN (PwD),,49.0,49.0,2016,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,,1753.0,2580.0,2016,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,,261.0,1451.0,2016,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,,661.0,697.0,2016,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,897.0,2155.0,2016,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,19.0,50.0,2016,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,356.0,995.0,2016,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,21.0,21.0,2016,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,,76.0,412.0,2016,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,,57.0,81.0,2016,1
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,1.0,60.0,2016,1
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,2.0,3.0,2016,1
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,8.0,44.0,2016,1
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,1.0,1.0,2016,1
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,,2.0,26.0,2016,1
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,,1.0,13.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,22.0,224.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,9.0,9.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,64.0,162.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,,18.0,81.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),,1.0,1.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,,19.0,36.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,249.0,578.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),,24.0,24.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,223.0,397.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,140.0,226.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,60.0,87.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,228.0,485.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,175.0,328.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL (PwD),,2.0,2.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,132.0,184.0,2016,1
Indian Institute  of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,45.0,89.0,2016,1
Indian Institute  of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,1374.0,2250.0,2016,1
Indian Institute  of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,890.0,1524.0,2016,1
Indian Institute  of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,338.0,848.0,2016,1
Indian Institute  of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,415.0,607.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,,6.0,884.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,43.0,43.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,,283.0,770.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,,360.0,522.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,,204.0,337.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,1013.0,1400.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,477.0,848.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL (PwD),,50.0,50.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,801.0,812.0,2016,1
Indian Institute  of Technology Bombay,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,368.0,368.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,26.0,747.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,13.0,13.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,104.0,360.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,7.0,7.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,,33.0,164.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,,29.0,117.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,583.0,892.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,428.0,484.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,189.0,284.0,2016,1
Indian Institute  of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,56.0,130.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,OPEN,,1657.0,2805.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,104.0,104.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1015.0,1599.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,SC,,575.0,902.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,ST,,333.0,557.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,2809.0,3180.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),,60.0,60.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,1560.0,1783.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,766.0,959.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,384.0,384.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,2916.0,3201.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,1665.0,1885.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,907.0,998.0,2016,1
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,389.0,389.0,2016,1
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,5129.0,6029.0,2016,1
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1951.0,2503.0,2016,1
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,,774.0,1234.0,2016,1
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,,338.0,404.0,2016,1
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,1630.0,2324.0,2016,1
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,821.0,1151.0,2016,1
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,,324.0,669.0,2016,1
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,,164.0,349.0,2016,1
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,3334.0,4373.0,2016,1
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,111.0,111.0,2016,1
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1684.0,2085.0,2016,1
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,,791.0,989.0,2016,1
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,,433.0,467.0,2016,1
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,4531.0,5035.0,2016,1
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,2071.0,2270.0,2016,1
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,56.0,56.0,2016,1
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,,903.0,1213.0,2016,1
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,,454.0,497.0,2016,1
Indian Institute  of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,3787.0,4714.0,2016,1
Indian Institute  of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,2028.0,2511.0,2016,1
Indian Institute  of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,1402.0,1485.0,2016,1
Indian Institute  of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,803.0,803.0,2016,1
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,2609.0,3706.0,2016,1
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,91.0,91.0,2016,1
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,1629.0,2161.0,2016,1
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,SC,,1116.0,1476.0,2016,1
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,ST,,432.0,786.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,980.0,1587.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,44.0,44.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,650.1,1064.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,,394.0,574.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,,325.0,392.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,1482.0,2775.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),,90.0,90.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,1101.0,1373.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL (PwD),,58.0,58.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,739.0,876.0,2016,1
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,395.0,473.0,2016,1
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,767.0,2494.0,2016,1
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,48.0,48.0,2016,1
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,395.0,990.0,2016,1
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),,24.0,25.0,2016,1
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,,153.0,400.0,2016,1
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,,14.0,47.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,,24.0,111.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),,5.0,5.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,,33.0,62.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,,23.0,43.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,,12.0,17.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),,1.0,1.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,,115.0,184.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,,72.0,140.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,,44.0,47.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC (PwD),,4.0,4.0,2016,1
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,,40.0,46.0,2016,1
